,feature,weight
119,birth: germany,-0.0
120,studying: primary other,0.0
117,birth: italy,-0.0
121,studying: tertiary FT 14-25,0.0
129,studying: preschool,0.0
127,studying: primary government,-0.0
126,studying: tafe total,0.0
125,studying: tertiary PT 25+,-0.0
76,birth: thailand,0.0
75,birth: afghanistan age,0.0
74,birth: egypt,0.0
73,birth: indonesia,0.0
185,population: 25-29_pc,-0.0
184,population: 20-24_pc,-0.0
182,population: 10-14_pc,-0.0
183,population: 15-19_pc,0.0
140,relationships: group household,0.0
192,population: 60-64_pc,0.0
195,population: 75-79_pc,-0.0
194,population: 70-74_pc,0.0
147,"a70_stalking,_harassment_and_threatening_behaviour_pc",-0.0
133,studying: tertiary total,0.0
134,overseas: 5 years,-0.0
135,relationships: child under 15,0.0
139,relationships: lone persons,0.0
138,relationships: non dependent child,-0.0
137,relationships: other related individual,0.0
136,relationships: defacto,0.0
186,population: 30-34_pc,-0.0
141,relationships: married,-0.0
149,other_crimes_against_the_person_pc,0.0
146,a50_robbery_pc,-0.0
142,relationships: dependent student,-0.0
158,d10_weapons_and_explosives_offences_pc,0.0
60,population: 60-64,-0.0
58,population: 50-54,-0.0
57,population: 45-49,-0.0
48,population: 0-4,0.0
50,population: 10-14,-0.0
49,population: 5-9,-0.0
51,population: 15-19,-0.0
41,economic: top 5% suburb,0.0
38,duration_to_cbd,-0.0
52,population: 20-24,0.0
198,birth: brazil_pc,0.0
201,birth: australia_pc,0.0
204,birth: indonesia_pc,0.0
61,population: 65-69,-0.0
66,population: total persons,0.0
64,population: 80-84,0.0
63,population: 75-79,-0.0
62,population: 70-74,-0.0
68,birth: wales,0.0
67,birth: brazil,0.0
53,population: 25-29,0.0
45,economic: variable interest rate,0.0
217,birth: malta_pc,-0.0
211,birth: north macedonia_pc,0.0
209,birth: hong kong sar of china_pc,-0.0
208,birth: ireland_pc,-0.0
223,birth: greece_pc,-0.0
225,birth: iraq_pc,-0.0
226,birth: mauritius_pc,0.0
228,birth: sri lanka_pc,0.0
206,birth: afghanistan age_pc,0.0
219,birth: china excludes sars and taiwan_pc,0.0
218,birth: scotland_pc,-0.0
172,economic: median income_pc,0.0
170,total_crimes_pc,-0.0
169,b60_bribery_pc,-0.0
222,birth: south africa_pc,-0.0
165,c90_other_drug_offences_pc,0.0
176,economic: trimmed mean quarterly_pc,-0.0
179,economic: gdp per capita quarterly_pc,-0.0
173,economic: top 5% suburb_pc,-0.0
175,economic: gini coefficient_pc,0.0
267,relationships: defacto_pc,-0.0
268,relationships: other related individual_pc,0.0
4,a50_robbery,-0.0
272,relationships: married_pc,-0.0
3,a20_assault_and_related_offences,0.0
264,studying: tertiary total_pc,0.0
265,overseas: 5 years_pc,-0.0
42,economic: top 1% suburb,-0.0
5,"a70_stalking,_harassment_and_threatening_behaviour",0.0
266,relationships: child under 15_pc,-0.0
56,population: 40-44,0.0
44,economic: trimmed mean quarterly,0.009832510375652135
214,birth: fiji_pc,0.06429618718794546
55,population: 35-39,0.06876262700008375
22,f90_miscellaneous_offences,0.08912106100510477
171,economic: median age of earners_pc,0.12839085236795333
13,c10_drug_dealing_and_trafficking,0.13433379181221194
54,population: 30-34,0.1679625391615396
18,d30_public_nuisance_offences,0.17472933565353602
168,f10_regulatory_driving_offences_pc,0.46123983747810116
262,studying: secondary government_pc,0.5691274723584664
199,birth: wales_pc,0.9056382718374733
95,birth: mauritius,0.9170091944930145
164,f90_miscellaneous_offences_pc,1.0471548002192086
17,d20_disorderly_and_offensive_conduct,1.246506421605935
47,economic: gdp per capita quarterly,1.3135303480864824
113,birth: canada,1.4503973132960724
187,population: 35-39_pc,1.483205271172849
244,birth: canada_pc,1.4955011594967538
21,f20_transport_regulation_offences,1.5540979338303353
167,d40_public_security_offences_pc,1.6018097794865946
80,birth: north macedonia,1.6489452667104219
30,avg_school_study_score_over_40_percent,1.852543991639021
190,population: 50-54_pc,1.864722340162188
2,quarter,1.9575585852888044
99,birth: philippines,2.129039682319911
103,birth: lebanon,2.155766580094059
65,population: 85 and over,2.1689547944182963
252,studying: tertiary FT 14-25_pc,2.284227484131797
189,population: 45-49_pc,2.5403121092339074
159,d20_disorderly_and_offensive_conduct_pc,2.5426811658043915
35,zoned_school_percentage_applying_to_victorian_uni,2.9183314970614895
221,birth: singapore_pc,2.989388643267223
203,birth: country of birth not stated_pc,3.264382751447427
150,b10_arson_pc,3.3239666293067898
40,economic: median income,3.3430539340143968
188,population: 40-44_pc,3.3984345924251196
31,zoned_school_number_vce_subjects,3.680381101986426
215,birth: taiwan_pc,3.8073261743617217
153,b40_theft_pc,3.992602575732958
157,c30_drug_use_and_possession_pc,4.1411456197023035
16,d10_weapons_and_explosives_offences,4.225441194715622
43,economic: gini coefficient,4.409136092623729
124,studying: tertiary PT 14-25,4.6282416536558495
107,birth: myanmar,4.667251137919024
81,birth: england,4.823343782046146
11,b40_theft,5.391108594860192
193,population: 65-69_pc,5.461835880298632
177,economic: variable interest rate_pc,5.504522626873482
118,birth: croatia,5.653272952959155
202,birth: malaysia_pc,5.786456217958603
269,relationships: non dependent child_pc,6.031579624229897
236,birth: total_pc,6.825085602710727
255,studying: tertiary PT 14-25_pc,6.95060407515071
12,b50_deception,7.162875069638183
97,birth: sri lanka,7.609067384838658
200,birth: papua new guinea_pc,7.775308734457047
213,birth: chile_pc,7.793120770079354
128,studying: secondary catholic,8.075821439271879
212,birth: england_pc,10.224323262394265
1,year,10.986513037632273
227,birth: samoa_pc,11.084313099503348
251,studying: primary other_pc,11.45281803950522
235,birth: france_pc,14.541963192409892
245,birth: korea republic of south_pc,14.657611094153774
130,studying: primary catholic,15.392213567748017
274,relationships: lone parents_pc,17.59751976907093
233,birth: iran_pc,20.16500335954404
239,birth: united states of america_pc,20.57693886562945
85,birth: japan,24.82117614132105
79,birth: nepal,25.530384914368767
273,relationships: dependent student_pc,27.466770185463666
