,feature,weight
197,population: 85 and over_pc,-0.0
210,birth: nepal_pc,0.0
209,birth: hong kong sar of china_pc,-0.0
61,population: 65-69,-0.0
60,population: 60-64,-0.0
201,birth: australia_pc,0.0
67,birth: brazil,0.0
66,population: total persons,-0.0
65,population: 85 and over,-0.0
225,birth: iraq_pc,0.0
224,birth: pakistan_pc,0.0
165,c90_other_drug_offences_pc,-0.0
170,total_crimes_pc,0.0
227,birth: samoa_pc,0.0
222,birth: south africa_pc,0.0
173,economic: top 5% suburb_pc,-0.0
178,economic: gdp quarterly_pc,-0.0
177,economic: variable interest rate_pc,0.0
175,economic: gini coefficient_pc,0.0
186,population: 30-34_pc,-0.0
187,population: 35-39_pc,0.0
172,economic: median income_pc,0.0
185,population: 25-29_pc,-0.0
183,population: 15-19_pc,-0.0
184,population: 20-24_pc,-0.0
180,population: 0-4_pc,0.0
195,population: 75-79_pc,0.0
269,relationships: non dependent child_pc,-0.0
2,quarter,-0.0
57,population: 45-49,-0.0
58,population: 50-54,-0.0
48,population: 0-4,0.0
52,population: 20-24,-0.0
53,population: 25-29,0.0
55,population: 35-39,0.0
45,economic: variable interest rate,0.0
62,population: 70-74,-0.0
64,population: 80-84,-0.0
37,distance_to_cbd,-0.0
36,crow_distance_to_cbd,0.0
51,population: 15-19,-0.0
50,population: 10-14,-0.0
0,Unnamed: 0,-0.0
261,studying: primary catholic_pc,0.0
263,studying: secondary total_pc,-0.0
274,relationships: lone parents_pc,-0.0
273,relationships: dependent student_pc,-0.0
264,studying: tertiary total_pc,0.0
3,a20_assault_and_related_offences,0.0
267,relationships: defacto_pc,0.0
266,relationships: child under 15_pc,0.0
38,duration_to_cbd,0.0
49,population: 5-9,0.0
166,f30_other_government_regulatory_offences_pc,0.15674909123003233
179,economic: gdp per capita quarterly_pc,0.21794443434150573
167,d40_public_security_offences_pc,0.3422951810153037
163,f20_transport_regulation_offences_pc,0.4476248952432468
161,e10_justice_procedures_pc,0.6076968492184307
181,population: 5-9_pc,0.6311174671163207
93,birth: pakistan,0.6464307475455708
220,birth: poland_pc,0.6631617951862082
146,a50_robbery_pc,0.6896011390533062
137,relationships: other related individual,0.7102587850574396
156,c20_cultivate_or_manufacture_drugs_pc,0.8269857756980528
47,economic: gdp per capita quarterly,1.0441715510708336
96,birth: samoa,1.398734378420876
232,birth: new zealand_pc,1.5966382780055222
4,a50_robbery,1.6205355225690106
200,birth: papua new guinea_pc,1.8279179488961639
164,f90_miscellaneous_offences_pc,2.049091405458251
212,birth: england_pc,2.4011479123229744
168,f10_regulatory_driving_offences_pc,2.446092704958607
249,birth: croatia_pc,2.515424550537863
54,population: 30-34,2.517987429614463
106,birth: netherlands,2.9154704202773627
153,b40_theft_pc,3.2080267590038214
17,d20_disorderly_and_offensive_conduct,3.2932283879494375
182,population: 10-14_pc,3.973960846228382
190,population: 50-54_pc,4.45534097015665
81,birth: england,4.474637578779952
270,relationships: lone persons_pc,4.627191556366913
268,relationships: other related individual_pc,4.748950501507918
250,birth: germany_pc,4.9691111612371754
107,birth: myanmar,5.384169631102061
79,birth: nepal,5.39691218201683
188,population: 40-44_pc,5.4269606456273305
1,year,5.429917844560836
251,studying: primary other_pc,5.675707156868394
213,birth: chile_pc,5.690857989637245
176,economic: trimmed mean quarterly_pc,6.089981988187038
194,population: 70-74_pc,6.3206060752298034
252,studying: tertiary FT 14-25_pc,6.397010308476821
13,c10_drug_dealing_and_trafficking,6.440574367945912
196,population: 80-84_pc,6.986628719855689
206,birth: afghanistan age_pc,7.063806910468087
275,economic: number of earners_pc,7.070350569628267
223,birth: greece_pc,7.3261871708057145
74,birth: egypt,7.403109258520985
246,birth: cambodia_pc,7.652461148293572
189,population: 45-49_pc,7.971129916532984
121,studying: tertiary FT 14-25,8.27317928850101
205,birth: egypt_pc,8.31287490002124
30,avg_school_study_score_over_40_percent,8.414460805501438
171,economic: median age of earners_pc,9.462458624624656
98,birth: india,9.6787775620689
41,economic: top 5% suburb,11.177201313307117
257,studying: tafe total_pc,11.239213394460924
12,b50_deception,11.533897520266406
247,birth: born elsewhere_pc,12.753546138335633
77,birth: ireland,16.141223496208635
35,zoned_school_percentage_applying_to_victorian_uni,18.59687750914942
235,birth: france_pc,21.825190367551706
239,birth: united states of america_pc,23.63456474193607
221,birth: singapore_pc,25.52432843370658
40,economic: median income,28.63104708039452
43,economic: gini coefficient,42.24720759849158
