,feature,weight
45,economic: variable interest rate,0.9152731141256258
162,e20_breaches_of_orders_pc,1.1641562249249415
23,c90_other_drug_offences,1.2257020438333481
149,other_crimes_against_the_person_pc,1.3843724993825641
274,relationships: lone parents_pc,1.5116547395141664
10,b30_burglary/break_and_enter,1.5966039608761444
200,birth: papua new guinea_pc,1.6749044459310547
47,economic: gdp per capita quarterly,1.6870189027379985
270,relationships: lone persons_pc,1.6905692740687772
197,population: 85 and over_pc,2.040467207071816
166,f30_other_government_regulatory_offences_pc,2.463283085323025
252,studying: tertiary FT 14-25_pc,2.674133730173557
134,overseas: 5 years,2.7276500149351763
188,population: 40-44_pc,2.802018455660999
114,birth: korea republic of south,3.2542810712403316
213,birth: chile_pc,3.3128643814322873
98,birth: india,3.3438740080796485
27,b60_bribery,3.4122958771870118
111,birth: bangladesh,3.4415615434392812
15,c30_drug_use_and_possession,3.6933760363414674
147,"a70_stalking,_harassment_and_threatening_behaviour_pc",3.6951856467085054
161,e10_justice_procedures_pc,3.93282592285587
72,birth: country of birth not stated,4.1844396132491815
167,d40_public_security_offences_pc,4.398457926249894
168,f10_regulatory_driving_offences_pc,4.744309659235528
156,c20_cultivate_or_manufacture_drugs_pc,5.387599633687474
192,population: 60-64_pc,5.411725390442443
189,population: 45-49_pc,5.5017949243667275
250,birth: germany_pc,5.572453190208433
275,economic: number of earners_pc,5.609434283979772
164,f90_miscellaneous_offences_pc,6.2216378943728445
152,b30_burglary/break_and_enter_pc,6.22935079266379
215,birth: taiwan_pc,6.261279953361588
106,birth: netherlands,6.550081438133839
224,birth: pakistan_pc,6.77038098204816
30,avg_school_study_score_over_40_percent,6.786144879957399
159,d20_disorderly_and_offensive_conduct_pc,6.832014472003883
172,economic: median income_pc,7.1412040077737435
206,birth: afghanistan age_pc,7.282755069102548
196,population: 80-84_pc,7.690102247309835
230,birth: philippines_pc,8.086623970461808
223,birth: greece_pc,8.39511902920557
93,birth: pakistan,9.861921080344565
126,studying: tafe total,10.009575024473481
107,birth: myanmar,10.472919284792937
214,birth: fiji_pc,10.605532697865899
251,studying: primary other_pc,10.93865879699677
246,birth: cambodia_pc,11.337798876289414
220,birth: poland_pc,11.755873988829284
48,population: 0-4,11.919634501515132
13,c10_drug_dealing_and_trafficking,12.6079429482994
146,a50_robbery_pc,12.678274538252523
36,crow_distance_to_cbd,15.676910630637135
130,studying: primary catholic,16.37681170584635
68,birth: wales,17.162583374081763
212,birth: england_pc,22.14953527114754
121,studying: tertiary FT 14-25,22.262367533592425
41,economic: top 5% suburb,23.98419544469303
247,birth: born elsewhere_pc,25.089460310399623
194,population: 70-74_pc,25.313632072122093
268,relationships: other related individual_pc,27.35026255500881
163,f20_transport_regulation_offences_pc,28.017729322165497
74,birth: egypt,28.756662549214997
12,b50_deception,28.974271260631223
221,birth: singapore_pc,32.74770345184877
35,zoned_school_percentage_applying_to_victorian_uni,33.16227711577453
77,birth: ireland,34.73309840417942
43,economic: gini coefficient,38.632718834174625
40,economic: median income,47.42767553211222
235,birth: france_pc,50.53449046422696
239,birth: united states of america_pc,64.8769530848573
