,feature,weight
98,birth: india,0.0
151,b20_property_damage_pc,-0.0
141,relationships: married,-0.0
57,population: 45-49,0.0
58,population: 50-54,0.0
47,economic: gdp per capita quarterly,-0.0
60,population: 60-64,0.0
49,population: 5-9,-0.0
48,population: 0-4,0.0
52,population: 20-24,-0.0
37,distance_to_cbd,0.0
50,population: 10-14,-0.0
51,population: 15-19,0.0
263,studying: secondary total_pc,-0.0
264,studying: tertiary total_pc,0.0
262,studying: secondary government_pc,0.0
67,birth: brazil,-0.0
207,birth: thailand_pc,-0.0
210,birth: nepal_pc,0.0
201,birth: australia_pc,-0.0
66,population: total persons,0.0
64,population: 80-84,0.0
62,population: 70-74,-0.0
61,population: 65-69,-0.0
202,birth: malaysia_pc,-0.0
43,economic: gini coefficient,-0.0
4,a50_robbery,0.0
266,relationships: child under 15_pc,-0.0
265,overseas: 5 years_pc,0.0
3,a20_assault_and_related_offences,-0.0
272,relationships: married_pc,0.0
271,relationships: group household_pc,0.0
273,relationships: dependent student_pc,-0.0
54,population: 30-34,-0.0
55,population: 35-39,0.0
218,birth: scotland_pc,-0.0
215,birth: taiwan_pc,-0.0
170,total_crimes_pc,-0.0
171,economic: median age of earners_pc,0.0
172,economic: median income_pc,0.0
178,economic: gdp quarterly_pc,0.0
224,birth: pakistan_pc,-0.0
227,birth: samoa_pc,-0.0
205,birth: egypt_pc,0.005976431771142257
65,population: 85 and over,0.007281554239978101
5,"a70_stalking,_harassment_and_threatening_behaviour",0.12075098658647328
56,population: 40-44,0.6160600771963545
225,birth: iraq_pc,0.6886916299832302
161,e10_justice_procedures_pc,0.9076605155906744
230,birth: philippines_pc,1.1950758801673127
241,birth: zimbabwe_pc,1.4181942165203287
29,best_school_study_score_over_40_percent,1.4971302163318356
94,birth: iraq,1.9949629580794885
102,birth: iran,2.246406280687472
114,birth: korea republic of south,2.5361519811031625
59,population: 55-59,2.6683111430889355
257,studying: tafe total_pc,2.8059389403797033
26,f10_regulatory_driving_offences,3.0049616748935652
134,overseas: 5 years,3.0522535177140506
44,economic: trimmed mean quarterly,3.3149595899791624
274,relationships: lone parents_pc,3.3750320626723487
165,c90_other_drug_offences_pc,3.428420167184228
22,f90_miscellaneous_offences,3.4755320316287106
10,b30_burglary/break_and_enter,4.049599720314639
179,economic: gdp per capita quarterly_pc,4.127923981484378
36,crow_distance_to_cbd,4.605630345299146
212,birth: england_pc,5.023597443319946
239,birth: united states of america_pc,5.090109071791944
25,d40_public_security_offences,5.166002616525527
90,birth: singapore,5.252937931288489
191,population: 55-59_pc,5.535106356998234
163,f20_transport_regulation_offences_pc,5.67191578285749
223,birth: greece_pc,5.694571950128385
275,economic: number of earners_pc,5.981451133706599
71,birth: malaysia,6.257842880721244
149,other_crimes_against_the_person_pc,7.26118086926774
169,b60_bribery_pc,8.058493714194105
147,"a70_stalking,_harassment_and_threatening_behaviour_pc",8.854065929378104
0,Unnamed: 0,9.570642839013988
255,studying: tertiary PT 14-25_pc,9.638585936346837
93,birth: pakistan,9.697720674552631
107,birth: myanmar,9.890126575804155
150,b10_arson_pc,12.150030774410812
232,birth: new zealand_pc,12.485387433088995
196,population: 80-84_pc,13.367955031379534
100,birth: vietnam,13.394949937751473
32,zoned_school_satisfactory_complete_vce_percent,13.71856140866295
152,b30_burglary/break_and_enter_pc,14.126498204272218
197,population: 85 and over_pc,14.349872363257822
194,population: 70-74_pc,14.36354871262785
206,birth: afghanistan age_pc,14.371863378623942
91,birth: south africa,14.651038846596206
68,birth: wales,14.665059682158365
219,birth: china excludes sars and taiwan_pc,14.967312752342316
75,birth: afghanistan age,15.64042549867916
38,duration_to_cbd,15.700663958941089
30,avg_school_study_score_over_40_percent,15.800146826862308
184,population: 20-24_pc,15.942758320963993
35,zoned_school_percentage_applying_to_victorian_uni,16.960759062818862
250,birth: germany_pc,17.32705114283279
108,birth: united states of america,17.550594645543544
157,c30_drug_use_and_possession_pc,17.827835766891287
146,a50_robbery_pc,19.342393958171797
229,birth: india_pc,21.161807739734005
234,birth: lebanon_pc,21.629176326234404
73,birth: indonesia,23.58315799142266
12,b50_deception,26.370229393098697
193,population: 65-69_pc,26.41638235356117
69,birth: papua new guinea,26.51586151233027
106,birth: netherlands,29.666482544570012
159,d20_disorderly_and_offensive_conduct_pc,30.124383064789484
81,birth: england,30.56362491383497
130,studying: primary catholic,31.264438475809214
13,c10_drug_dealing_and_trafficking,31.894259232684774
189,population: 45-49_pc,34.54458550941469
182,population: 10-14_pc,44.11132363472472
97,birth: sri lanka,47.61342238012953
220,birth: poland_pc,49.21171912269758
116,birth: born elsewhere,51.01655427552972
40,economic: median income,53.75787580608574
235,birth: france_pc,55.77550213356724
177,economic: variable interest rate_pc,57.40476006320609
221,birth: singapore_pc,61.79245535361598
213,birth: chile_pc,62.683258789382585
251,studying: primary other_pc,64.38599709849657
77,birth: ireland,67.45630137926932
268,relationships: other related individual_pc,71.15474815363031
252,studying: tertiary FT 14-25_pc,73.3992835148456
74,birth: egypt,73.5769953614618
244,birth: canada_pc,90.45794059569947
41,economic: top 5% suburb,113.0259784296867
