,variable,correlation,correlation_with_distance
258,studying: tafe total_pc,-0.23731585406036323,0.030261692298070193
259,studying: primary government_pc,-0.2367665495777264,0.19663778298222
71,birth: country of birth not stated,-0.23092545161080508,0.058778222335424755
142,relationships: lone parents,-0.23040660527028464,0.03233527349422018
195,population: 70-74_pc,-0.2232416964903059,0.4384341441937722
28,total_crimes,-0.2210438279551283,0.03270610012152061
269,relationships: other related individual_pc,-0.2203427872629583,-0.1381576247868038
171,total_crimes_pc,-0.21450849659117152,0.13626916580423742
0,Unnamed: 0,-0.21309722443434537,0.14765412083590207
239,birth: myanmar_pc,-0.21234641086246023,-0.018072851366169342
184,population: 15-19_pc,-0.20818635301929234,0.23041697443814108
161,d30_public_nuisance_offences_pc,-0.20615712769188352,0.2506377421127162
228,birth: samoa_pc,-0.20407968329397713,-0.039950761889318454
198,population: 85 and over_pc,-0.1963292172994315,0.37446938486512393
105,birth: netherlands,-0.18725930969910792,0.1276477028141062
153,b30_burglary/break_and_enter_pc,-0.1706051300553097,0.04171358350189687
192,population: 55-59_pc,-0.16459956823698693,0.3558442602353411
10,b30_burglary/break_and_enter,-0.16396743100224465,-0.04657375551297652
225,birth: pakistan_pc,-0.16283838284092375,-0.1222206493018238
218,birth: malta_pc,-0.1566599647612766,-0.11559341467137496
95,birth: samoa,-0.15239844646169062,-0.04144860001836567
98,birth: philippines,-0.15191669987862536,-0.08779733364139389
137,relationships: non dependent child,-0.15092679908008455,-0.06154625397772135
264,studying: secondary total_pc,-0.14847507931073328,0.2259125124111313
18,d30_public_nuisance_offences,-0.1474827391407226,0.14435086616008558
127,studying: secondary catholic,-0.14616542332373206,0.06326467146717596
15,c30_drug_use_and_possession,-0.14035322973695427,0.01847353413095326
85,birth: malta,-0.1403266984618817,-0.11437239304912802
207,birth: afghanistan age_pc,-0.1381623438201365,0.00818795950403961
92,birth: pakistan,-0.13597212123261623,-0.11509188115337515
106,birth: myanmar,-0.13569364917409388,-0.05393524060247103
158,c30_drug_use_and_possession_pc,-0.13459650420152092,0.1026021990768848
47,population: 0-4,-0.13158572796980422,-0.06226690239390829
108,birth: bosnia and herzegovina,-0.13147467604013974,-0.13606853200027683
166,c90_other_drug_offences_pc,-0.1299074153046327,0.058580710455778534
130,studying: secondary government,-0.12894583649633662,-0.01721282490919536
23,c90_other_drug_offences,-0.1263574736197075,0.05408139274098327
241,birth: bosnia and herzegovina_pc,-0.12327949620569312,-0.16679728400526214
69,birth: australia,-0.12014310435133731,0.05763565498774453
117,birth: croatia,-0.1194835715904201,-0.14963647338658642
44,economic: variable interest rate,-0.11520298042647466,1.627547984561892e-15
38,economic: median age of earners,-0.11293566606291507,0.3761172184631828
13,c10_drug_dealing_and_trafficking,-0.10662296532251789,0.037103599773248175
215,birth: fiji_pc,-0.10600262870559307,-0.13888216068144552
134,relationships: child under 15,-0.10431592010974224,-0.029200520145796546
172,economic: median age of earners_pc,-0.10342663900969119,0.21741844470370292
74,birth: afghanistan age,-0.1017231196320214,-0.014051779902141985
82,birth: fiji,-0.09609682684856659,-0.09234288052598218
79,birth: north macedonia,-0.09539988572012781,-0.11373195187443196
110,birth: bangladesh,-0.0922570170702107,-0.15726137004843788
136,relationships: other related individual,-0.09151197985676116,-0.1510945510399564
250,birth: croatia_pc,-0.090884115005763,-0.10795776682700348
48,population: 5-9,-0.09053996285331199,-0.03938135144295063
122,studying: primary total,-0.08777837510476069,-0.02469911330267989
273,relationships: married_pc,-0.08661219849725044,0.17040511505311548
243,birth: bangladesh_pc,-0.084192052537431,-0.20357511421891314
156,c10_drug_dealing_and_trafficking_pc,-0.0818887314606706,0.09042200163830842
212,birth: north macedonia_pc,-0.08104015460849345,-0.1481637372666548
226,birth: iraq_pc,-0.08095271023388677,-0.046520136448975256
125,studying: tafe total,-0.08002206911259531,-0.10432021390236834
93,birth: iraq,-0.0785484431936572,-0.04419279584393929
128,studying: preschool,-0.07752029174538906,-0.04662045762545025
60,population: 65-69,-0.07365261776917141,0.027011361164264475
211,birth: nepal_pc,-0.0728611947424273,-0.14694147342913388
177,economic: trimmed mean quarterly_pc,-0.06944283775402195,0.11581811584673313
78,birth: nepal,-0.06812061659562409,-0.1335940419115858
126,studying: primary government,-0.0669531782261691,-0.04400682499081887
178,economic: variable interest rate_pc,-0.06663119214690577,0.1378497584328369
11,b40_theft,-0.0645710308631458,-0.17867513351525166
102,birth: lebanon,-0.05952237678132978,-0.19052477826517603
49,population: 10-14,-0.05703313237277453,-0.02595654820985678
114,birth: cambodia,-0.053660688672708026,-0.06342292975519166
62,population: 75-79,-0.05265659182999973,0.039789348133131855
63,population: 80-84,-0.05037556400883021,0.019809773114016594
99,birth: vietnam,-0.04969761978540981,-0.13755761548187
111,birth: turkey,-0.04955503105876992,-0.0961676782665441
247,birth: cambodia_pc,-0.04621256959129341,-0.06070813800688992
59,population: 60-64,-0.04579232949895594,-0.023349147577655167
43,economic: trimmed mean quarterly,-0.0449442264190747,3.0317618150114824e-16
160,d20_disorderly_and_offensive_conduct_pc,-0.044893455963475,0.07973275513159286
61,population: 70-74,-0.039726921212362355,0.031667070217555535
94,birth: mauritius,-0.032634091845816254,-0.11641058612081741
97,birth: india,-0.02869772597113884,-0.15018991794992417
12,b50_deception,-0.028072519403057286,-0.12110393956361619
179,economic: gdp quarterly_pc,-0.02777238254260626,0.016048473555725067
17,d20_disorderly_and_offensive_conduct,-0.02764811924629657,0.042674433100308974
50,population: 15-19,-0.02738908905641625,-0.07502082445270951
131,studying: secondary total,-0.02539001126174119,-0.052475540996135675
104,birth: total,-0.024872788841509525,-0.11094201304220473
45,economic: gdp quarterly,-0.02090363759442388,-1.814890606032617e-17
180,economic: gdp per capita quarterly_pc,-0.017425563504795828,0.0043667273118554555
154,b40_theft_pc,-0.016774437513666238,-0.0947601376193624
232,birth: vietnam_pc,-0.014487263154542119,-0.17353296149114297
46,economic: gdp per capita quarterly,-0.014481808855998621,1.4631370347359475e-18
235,birth: lebanon_pc,-0.013199211840513739,-0.23203298104625797
244,birth: turkey_pc,-0.009269991299463105,-0.12295119130067374
58,population: 55-59,-0.008783659499501403,-0.06936227580361956
96,birth: sri lanka,-0.007492733617275663,-0.13906270288410302
2,quarter,-0.007010029201902722,-3.2321524542538804e-16
140,relationships: married,-0.001281098185329726,-0.09272525866607063
64,population: 85 and over,0.004140973084855418,0.010918826307463672
65,population: total persons,0.009891556698022164,-0.14635894096866175
109,birth: zimbabwe,0.013613862113734608,-0.0675629374238616
155,b50_deception_pc,0.020043837015598646,-0.05131217853029975
116,birth: italy,0.026429908088095495,-0.23615016208496434
4,a50_robbery,0.02728538443175458,-0.20505511625095313
229,birth: sri lanka_pc,0.02779335719798634,-0.2001791179415378
271,relationships: lone persons_pc,0.028605338745205513,0.03241601902426436
26,f10_regulatory_driving_offences,0.02863964618997825,-0.05113523249771755
227,birth: mauritius_pc,0.030263030592986746,-0.2269419210742284
75,birth: thailand,0.030765343772422387,-0.14295366357732264
22,f90_miscellaneous_offences,0.03342767570577623,-0.05272398826226891
57,population: 50-54,0.035463772090386966,-0.12726437474991587
230,birth: india_pc,0.03637783115337939,-0.23959976781486594
169,f10_regulatory_driving_offences_pc,0.036941594044966775,-0.028352574508650814
170,b60_bribery_pc,0.03908748661330515,-0.07057281455055167
27,b60_bribery,0.04270892278337438,-0.08779588653456473
25,d40_public_security_offences,0.046193974946771535,0.026041073110140624
165,f90_miscellaneous_offences_pc,0.05082707213608061,-0.030531573189124295
208,birth: thailand_pc,0.05192436835911502,-0.15426884128555723
55,population: 40-44,0.05498281145673064,-0.19537348080492728
81,birth: chile,0.0549987838258363,-0.2772615790676968
54,population: 35-39,0.06271615060099306,-0.24342288851049407
168,d40_public_security_offences_pc,0.06278477890365218,-0.024231322704536675
167,f30_other_government_regulatory_offences_pc,0.06472657880426037,-0.032021877421498535
24,f30_other_government_regulatory_offences,0.06512700905650758,-0.04797748715875712
138,relationships: lone persons,0.06580225459735622,-0.13252057906421236
56,population: 45-49,0.06687924700394458,-0.1643158429456608
191,population: 50-54_pc,0.06868814028665728,0.08025308264855005
249,birth: italy_pc,0.0713367652361556,-0.2767151706290269
68,birth: papua new guinea,0.07182399416171246,-0.17852826311438802
176,economic: gini coefficient_pc,0.07550485549925695,0.05655331289729305
86,birth: scotland,0.07779548801440785,-0.09039072332674415
147,a50_robbery_pc,0.08070813710085054,-0.21837078609483251
73,birth: egypt,0.08292833775877996,-0.2549252981365025
51,population: 20-24,0.08465739423160362,-0.22132873517581117
53,population: 30-34,0.08519337446659253,-0.29521448344121265
242,birth: zimbabwe_pc,0.09094402230536028,-0.01786454365546103
141,relationships: dependent student,0.09164950664189728,-0.1682031798675567
135,relationships: defacto,0.09446299907126354,-0.18101377578327468
201,birth: papua new guinea_pc,0.09540834101187737,-0.12713817427335944
100,birth: new zealand,0.09858871356929691,-0.22371489920925566
119,studying: primary other,0.10061018030146561,-0.09368130900734953
143,economic: number of earners,0.11222848114038554,-0.18874973013472235
52,population: 25-29,0.11948812809999566,-0.30078784559546595
115,birth: born elsewhere,0.12286864305447237,-0.32684220970842087
144,housing: count,0.12667214047126793,-0.2651893136927288
101,birth: iran,0.13776019063473796,-0.21586641919796543
173,economic: median income_pc,0.1377654784465829,-0.016952645808422134
32,zoned_school_satisfactory_complete_vce_percent,0.13889863488544862,-0.03196235658739059
67,birth: wales,0.1425853198683975,-0.08088248029752314
21,f20_transport_regulation_offences,0.148267115625967,-0.2325651032062072
185,population: 20-24_pc,0.15417383542135066,-0.23498609683839458
118,birth: germany,0.1554510418308782,-0.20039606877948535
219,birth: scotland_pc,0.16754806373242748,-0.06197142340617136
1,year,0.1685985291275285,2.709402414016643e-13
164,f20_transport_regulation_offences_pc,0.17079572521762001,-0.1928225597967179
268,relationships: defacto_pc,0.1748603352610965,-0.1264736761128486
88,birth: poland,0.18345771796214344,-0.2937454668550206
206,birth: egypt_pc,0.18909551105689146,-0.3348184851472281
174,economic: top 5% suburb_pc,0.1959988059822815,-0.04374217173601848
252,studying: primary other_pc,0.19609593168664274,-0.03476703196251662
80,birth: england,0.20696689962197468,-0.14214711466769625
91,birth: greece,0.20762218403277977,-0.32469088779540145
274,relationships: dependent student_pc,0.21078282241146404,-0.1615197591474668
33,zoned_school_median_study_score,0.21244329291198716,-0.08952180951671046
29,best_school_study_score_over_40_percent,0.22533940631769944,-0.13869418225834543
133,overseas: 5 years,0.23280087513034295,-0.30955701282307085
139,relationships: group household,0.23568114740527443,-0.32542991217832373
72,birth: indonesia,0.23687977492183038,-0.2531893157372641
251,birth: germany_pc,0.23753284443879238,-0.18565238032652995
70,birth: malaysia,0.25059304971822705,-0.19195056603895586
31,zoned_school_number_vce_subjects,0.25745549725576994,-0.2197622920562934
121,studying: tertiary FT 25+,0.2585599315319439,-0.38851303951144595
234,birth: iran_pc,0.2592622148863241,-0.3187751059465462
190,population: 45-49_pc,0.26659850386661654,-0.1615070042992971
175,economic: top 1% suburb_pc,0.2677930710060496,-0.10629051012545823
200,birth: wales_pc,0.2678975716926226,-0.08447065847071489
186,population: 25-29_pc,0.27370306733692545,-0.3723963862713698
90,birth: south africa,0.27586883777552673,-0.17671498465313693
214,birth: chile_pc,0.2766275330549422,-0.4860647102720122
83,birth: taiwan,0.28484291180515064,-0.21406070870885685
187,population: 30-34_pc,0.2927298478701737,-0.43412970395431494
30,avg_school_study_score_over_40_percent,0.3005071684300927,-0.1652151132518681
77,birth: hong kong sar of china,0.3011550221185059,-0.22890450972528836
113,birth: korea republic of south,0.3013235837774342,-0.26662624242238425
224,birth: greece_pc,0.31021258543643104,-0.416902231837177
87,birth: china excludes sars and taiwan,0.3160761932705627,-0.26023509667791156
120,studying: tertiary FT 14-25,0.31805381122178333,-0.3615438629325139
272,relationships: group household_pc,0.32076907282293815,-0.3436622201906453
189,population: 40-44_pc,0.3248523391376919,-0.38613505784033664
205,birth: indonesia_pc,0.3322345853838821,-0.314663182559422
132,studying: tertiary total,0.3340086305581145,-0.40635039243140236
124,studying: tertiary PT 25+,0.3500562294623483,-0.4167396117248002
203,birth: malaysia_pc,0.35087119907108283,-0.24542707369073655
123,studying: tertiary PT 14-25,0.3516980930315262,-0.42539614993219327
188,population: 35-39_pc,0.3554176088706623,-0.5164274362188923
216,birth: taiwan_pc,0.36312056552909117,-0.2626131715396217
221,birth: poland_pc,0.37151853571105947,-0.40552575533516194
213,birth: england_pc,0.37498996695870984,-0.16766095404490292
254,studying: tertiary FT 25+_pc,0.37916148686036477,-0.4611932892666282
89,birth: singapore,0.37930827851547194,-0.3455501506767592
246,birth: korea republic of south_pc,0.3875060801171735,-0.31766044421223116
248,birth: born elsewhere_pc,0.3914760043912447,-0.5398415372051126
266,overseas: 5 years_pc,0.4032071652819996,-0.40122592023795767
35,zoned_school_percentage_applying_to_victorian_uni,0.40425745507668653,-0.2954556428670568
76,birth: ireland,0.4106526637698372,-0.34294150890321196
220,birth: china excludes sars and taiwan_pc,0.42096271247793526,-0.3297722079195786
210,birth: hong kong sar of china_pc,0.42646573890326417,-0.32394845333597894
233,birth: new zealand_pc,0.4340106454763577,-0.445275752615275
209,birth: ireland_pc,0.43586442218973565,-0.34487424123886745
223,birth: south africa_pc,0.44012046087574513,-0.21865911047704936
34,zoned_school_study_score_over_40_percent,0.45275662330527444,-0.2639665463028316
199,birth: brazil_pc,0.45548180553191936,-0.37999775101172156
66,birth: brazil,0.4599595613935492,-0.4021473160113438
257,studying: tertiary PT 25+_pc,0.4701267790460673,-0.43461240113097754
253,studying: tertiary FT 14-25_pc,0.474771536007443,-0.45860556823710585
84,birth: japan,0.49470438636862996,-0.42652144120684904
103,birth: france,0.5079732530571451,-0.3976614600975768
265,studying: tertiary total_pc,0.5194377583460668,-0.5243655371376023
41,economic: top 1% suburb,0.5255643579842861,-0.27104361249986886
112,birth: canada,0.5447455332611135,-0.4274618183377938
236,birth: france_pc,0.5669399019734491,-0.4179776209304062
40,economic: top 5% suburb,0.5794884348513297,-0.290759556902633
222,birth: singapore_pc,0.5884988260369006,-0.5018907084543944
245,birth: canada_pc,0.5960856300847118,-0.4211608790512599
217,birth: japan_pc,0.596175709195909,-0.48549258662716094
42,economic: gini coefficient,0.5998495474551522,-0.26624679597312356
276,economic: number of earners_pc,0.6157790438161008,-0.31006000564478176
107,birth: united states of america,0.6178562444333331,-0.46710264254411066
39,economic: median income,0.6189756230719795,-0.40355529799591733
256,studying: tertiary PT 14-25_pc,0.6299867381722836,-0.6141413770816885
240,birth: united states of america_pc,0.6886328909320261,-0.47848191466049017
145,housing: avg 2 years,0.9921987847343465,-0.6558975562276553
